match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Thursday, 01 August",19:30 (IST),Match 20 - Completed ,Gujarat Fortunegiants,Dabang Delhi K.C.,31- 26,"Dome, NSCI, SVP Stadium, Mumbai",31,26,August
"Friday, 02 August",19:30 (IST),Match 21 - Completed ,Telugu Titans,U.P. Yoddha,20- 20,"Dome, NSCI, SVP Stadium, Mumbai",20,20,August
"Friday, 02 August",20:30 (IST),Match 22 - Completed ,U Mumba,Gujarat Fortunegiants,32- 20,"Dome, NSCI, SVP Stadium, Mumbai",32,20,August
"Saturday, 03 August",19:30 (IST),Match 23 - Completed ,Patna Pirates,Jaipur Pink Panthers,21- 34,"Patliputra Sports Complex, Patna",21,34,August
"Saturday, 03 August",20:30 (IST),Match 24 - Completed ,Bengal Warriors,Bengaluru Bulls,42- 43,"Patliputra Sports Complex, Patna",42,43,August
"Sunday, 04 August",19:30 (IST),Match 25 - Completed ,Haryana Steelers,Tamil Thalaivas,28- 35,"Patliputra Sports Complex, Patna",28,35,August
"Sunday, 04 August",20:30 (IST),Match 26 - Completed ,Patna Pirates,Puneri Paltan,20- 41,"Patliputra Sports Complex, Patna",20,41,August
"Monday, 05 August",19:30 (IST),Match 27 - Completed ,Dabang Delhi K.C.,Jaipur Pink Panthers,35- 24,"Patliputra Sports Complex, Patna",35,24,August
"Monday, 05 August",20:30 (IST),Match 28 - Completed ,Gujarat Fortunegiants,Puneri Paltan,31- 33,"Patliputra Sports Complex, Patna",31,33,August
"Wednesday, 07 August",19:30 (IST),Match 29 - Completed ,U.P. Yoddha,Tamil Thalaivas,28- 28,"Patliputra Sports Complex, Patna",28,28,August
"Wednesday, 07 August",20:30 (IST),Match 30 - Completed ,Patna Pirates,Haryana Steelers,26- 35,"Patliputra Sports Complex, Patna",26,35,August
"Thursday, 08 August",19:30 (IST),Match 31 - Completed ,Telugu Titans,Bengaluru Bulls,26- 47,"Patliputra Sports Complex, Patna",26,47,August
"Friday, 09 August",19:30 (IST),Match 32 - Completed ,Bengal Warriors,U Mumba,32- 30,"Patliputra Sports Complex, Patna",32,30,August
"Friday, 09 August",20:30 (IST),Match 33 - Completed ,Patna Pirates,U.P. Yoddha,41- 20,"Patliputra Sports Complex, Patna",41,20,August
"Saturday, 10 August",19:30 (IST),Match 34 - Completed ,Gujarat Fortunegiants,Tamil Thalaivas,28- 34,"EKA Arena by TransStadia, Ahmedabad",28,34,August
"Saturday, 10 August",20:30 (IST),Match 35 - Completed ,Puneri Paltan,Dabang Delhi K.C.,30- 32,"EKA Arena by TransStadia, Ahmedabad",30,32,August
"Sunday, 11 August",19:30 (IST),Match 36 - Completed ,Bengaluru Bulls,Haryana Steelers,30- 33,"EKA Arena by TransStadia, Ahmedabad",30,33,August
"Sunday, 11 August",20:30 (IST),Match 37 - Completed ,Gujarat Fortunegiants,Telugu Titans,24- 30,"EKA Arena by TransStadia, Ahmedabad",24,30,August
"Monday, 12 August",19:30 (IST),Match 38 - Completed ,Bengal Warriors,Telugu Titans,29- 29,"EKA Arena by TransStadia, Ahmedabad",29,29,August
"Monday, 12 August",20:30 (IST),Match 39 - Completed ,U.P. Yoddha,Bengaluru Bulls,35- 33,"EKA Arena by TransStadia, Ahmedabad",35,33,August
"Wednesday, 14 August",19:30 (IST),Match 40 - Completed ,U.P. Yoddha,Haryana Steelers,33- 36,"EKA Arena by TransStadia, Ahmedabad",33,36,August
"Wednesday, 14 August",20:30 (IST),Match 41 - Completed ,Gujarat Fortunegiants,Bengal Warriors,26- 28,"EKA Arena by TransStadia, Ahmedabad",26,28,August
"Thursday, 15 August",19:30 (IST),Match 42 - Completed ,Jaipur Pink Panthers,Puneri Paltan,33- 25,"EKA Arena by TransStadia, Ahmedabad",33,25,August
"Friday, 16 August",19:30 (IST),Match 43 - Completed ,U Mumba,Patna Pirates,34- 30,"EKA Arena by TransStadia, Ahmedabad",34,30,August
"Friday, 16 August",20:30 (IST),Match 44 - Completed ,Gujarat Fortunegiants,Jaipur Pink Panthers,19- 22,"EKA Arena by TransStadia, Ahmedabad",19,22,August
"Saturday, 17 August",19:30 (IST),Match 45 - Completed ,Tamil Thalaivas,Bengaluru Bulls,21- 32,"Jawaharlal Nehru Indoor Stadium, Chennai",21,32,August
"Saturday, 17 August",20:30 (IST),Match 46 - Completed ,Bengal Warriors,Dabang Delhi K.C.,30- 30,"Jawaharlal Nehru Indoor Stadium, Chennai",30,30,August
"Sunday, 18 August",19:30 (IST),Match 47 - Completed ,Haryana Steelers,Telugu Titans,29- 40,"Jawaharlal Nehru Indoor Stadium, Chennai",29,40,August
"Sunday, 18 August",20:30 (IST),Match 48 - Completed ,Tamil Thalaivas,Puneri Paltan,31- 31,"Jawaharlal Nehru Indoor Stadium, Chennai",31,31,August
"Monday, 19 August",19:30 (IST),Match 49 - Completed ,U Mumba,Haryana Steelers,27- 30,"Jawaharlal Nehru Indoor Stadium, Chennai",27,30,August
