match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Saturday, 20 July",19:30 (IST),Match 1 - Completed ,Telugu Titans,U Mumba,25- 31,"Gachibowli Indoor Stadium, Hyderabad",25,31,July
"Saturday, 20 July",20:30 (IST),Match 2 - Completed ,Bengaluru Bulls,Patna Pirates,34- 32,"Gachibowli Indoor Stadium, Hyderabad",34,32,July
"Sunday, 21 July",19:30 (IST),Match 3 - Completed ,Bengaluru Bulls,Gujarat Fortunegiants,24- 42,"Gachibowli Indoor Stadium, Hyderabad",24,42,July
"Sunday, 21 July",20:30 (IST),Match 4 - Completed ,Telugu Titans,Tamil Thalaivas,26- 39,"Gachibowli Indoor Stadium, Hyderabad",26,39,July
"Monday, 22 July",19:30 (IST),Match 5 - Completed ,U Mumba,Jaipur Pink Panthers,23- 42,"Gachibowli Indoor Stadium, Hyderabad",23,42,July
"Monday, 22 July",20:30 (IST),Match 6 - Completed ,Puneri Paltan,Haryana Steelers,24- 34,"Gachibowli Indoor Stadium, Hyderabad",24,34,July
"Wednesday, 24 July",19:30 (IST),Match 7 - Completed ,U.P. Yoddha,Bengal Warriors,17- 48,"Gachibowli Indoor Stadium, Hyderabad",17,48,July
"Wednesday, 24 July",20:30 (IST),Match 8 - Completed ,Telugu Titans,Dabang Delhi K.C.,33- 34,"Gachibowli Indoor Stadium, Hyderabad",33,34,July
"Thursday, 25 July",19:30 (IST),Match 9 - Completed ,Dabang Delhi K.C.,Tamil Thalaivas,30- 29,"Gachibowli Indoor Stadium, Hyderabad",30,29,July
"Friday, 26 July",19:30 (IST),Match 10 - Completed ,U.P. Yoddha,Gujarat Fortunegiants,19- 44,"Gachibowli Indoor Stadium, Hyderabad",19,44,July
"Friday, 26 July",20:30 (IST),Match 11 - Completed ,Telugu Titans,Patna Pirates,22- 34,"Gachibowli Indoor Stadium, Hyderabad",22,34,July
"Saturday, 27 July",19:30 (IST),Match 12 - Completed ,U Mumba,Puneri Paltan,33- 23,"Dome, NSCI, SVP Stadium, Mumbai",33,23,July
"Saturday, 27 July",20:30 (IST),Match 13 - Completed ,Jaipur Pink Panthers,Bengal Warriors,27- 25,"Dome, NSCI, SVP Stadium, Mumbai",27,25,July
"Sunday, 28 July",19:30 (IST),Match 14 - Completed ,Dabang Delhi K.C.,Haryana Steelers,41- 21,"Dome, NSCI, SVP Stadium, Mumbai",41,21,July
"Sunday, 28 July",20:30 (IST),Match 15 - Completed ,U Mumba,Bengaluru Bulls,26- 30,"Dome, NSCI, SVP Stadium, Mumbai",26,30,July
"Monday, 29 July",19:30 (IST),Match 16 - Completed ,Tamil Thalaivas,Patna Pirates,23- 24,"Dome, NSCI, SVP Stadium, Mumbai",23,24,July
"Monday, 29 July",20:30 (IST),Match 17 - Completed ,Bengal Warriors,Puneri Paltan,43- 23,"Dome, NSCI, SVP Stadium, Mumbai",43,23,July
"Wednesday, 31 July",19:30 (IST),Match 18 - Completed ,Haryana Steelers,Jaipur Pink Panthers,21- 37,"Dome, NSCI, SVP Stadium, Mumbai",21,37,July
"Wednesday, 31 July",20:30 (IST),Match 19 - Completed ,U Mumba,U.P. Yoddha,23- 27,"Dome, NSCI, SVP Stadium, Mumbai",23,27,July
