match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Wednesday, 02 October",19:30 (IST),Match 117 - Upcoming ,U Mumba,Patna Pirates,- ,"Tau Devilal Sports Complex, Panchkula",,,October
"Wednesday, 02 October",20:30 (IST),Match 118 - Upcoming ,Haryana Steelers,Bengaluru Bulls,- ,"Tau Devilal Sports Complex, Panchkula",,,October
"Thursday, 03 October",19:30 (IST),Match 119 - Upcoming ,Telugu Titans,Puneri Paltan,- ,"Tau Devilal Sports Complex, Panchkula",,,October
"Friday, 04 October",19:30 (IST),Match 120 - Upcoming ,Jaipur Pink Panthers,Bengaluru Bulls,- ,"Tau Devilal Sports Complex, Panchkula",,,October
"Friday, 04 October",20:30 (IST),Match 121 - Upcoming ,Haryana Steelers,Telugu Titans,- ,"Tau Devilal Sports Complex, Panchkula",,,October
"Saturday, 05 October",19:30 (IST),Match 122 - Upcoming ,U.P. Yoddha,Dabang Delhi K.C.,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Saturday, 05 October",20:30 (IST),Match 123 - Upcoming ,Gujarat Fortunegiants,Patna Pirates,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Sunday, 06 October",19:30 (IST),Match 124 - Upcoming ,Bengal Warriors,Patna Pirates,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Sunday, 06 October",20:30 (IST),Match 125 - Upcoming ,U.P. Yoddha,Puneri Paltan,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Monday, 07 October",19:30 (IST),Match 126 - Upcoming ,Telugu Titans,Gujarat Fortunegiants,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Monday, 07 October",20:30 (IST),Match 127 - Upcoming ,Tamil Thalaivas,Jaipur Pink Panthers,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Wednesday, 09 October",19:30 (IST),Match 128 - Upcoming ,Bengal Warriors,Tamil Thalaivas,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Wednesday, 09 October",20:30 (IST),Match 129 - Upcoming ,U.P. Yoddha,Telugu Titans,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Thursday, 10 October",19:30 (IST),Match 130 - Upcoming ,U Mumba,Haryana Steelers,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Friday, 11 October",19:30 (IST),Match 131 - Upcoming ,Dabang Delhi K.C.,U Mumba,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Friday, 11 October",20:30 (IST),Match 132 - Upcoming ,U.P. Yoddha,Bengaluru Bulls,- ,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",,,October
"Monday, 14 October",19:30 (IST),Eliminator 1 - Upcoming ,Rank 3,Rank 6,- ,"EKA Arena by TransStadia, Ahmedabad",,,October
"Monday, 14 October",20:30 (IST),Eliminator 2 - Upcoming ,Rank 4,Rank 5,- ,"EKA Arena by TransStadia, Ahmedabad",,,October
"Wednesday, 16 October",19:30 (IST),Semi-Final 1 - Upcoming ,Rank 1,Winner ofEliminator 1,- ,"EKA Arena by TransStadia, Ahmedabad",,,October
"Wednesday, 16 October",20:30 (IST),Semi-Final 2 - Upcoming ,Rank 2,Winner ofEliminator 2,- ,"EKA Arena by TransStadia, Ahmedabad",,,October
"Saturday, 19 October",19:30 (IST),Final - Upcoming ,Winner of Semi-Final 1,Winner of Semi-Final 2,- ,"EKA Arena by TransStadia, Ahmedabad",,,October
