match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Sunday, 01 September",19:30 (IST),Match 69 - Completed ,U.P. Yoddha,Bengal Warriors,32- 29,"Sree Kanteerava Stadium, Bengaluru",32,29,September
"Sunday, 01 September",20:30 (IST),Match 70 - Completed ,Bengaluru Bulls,Tamil Thalaivas,33- 27,"Sree Kanteerava Stadium, Bengaluru",33,27,September
"Monday, 02 September",19:30 (IST),Match 71 - Completed ,Puneri Paltan,Haryana Steelers,27- 41,"Sree Kanteerava Stadium, Bengaluru",27,41,September
"Monday, 02 September",20:30 (IST),Match 72 - Completed ,Telugu Titans,Tamil Thalaivas,35- 30,"Sree Kanteerava Stadium, Bengaluru",35,30,September
"Wednesday, 04 September",19:30 (IST),Match 73 - Completed ,Jaipur Pink Panthers,Dabang Delhi K.C.,44- 46,"Sree Kanteerava Stadium, Bengaluru",44,46,September
"Wednesday, 04 September",20:30 (IST),Match 74 - Completed ,Bengaluru Bulls,Patna Pirates,40- 39,"Sree Kanteerava Stadium, Bengaluru",40,39,September
"Thursday, 05 September",19:30 (IST),Match 75 - Completed ,Puneri Paltan,U Mumba,33- 33,"Sree Kanteerava Stadium, Bengaluru",33,33,September
"Friday, 06 September",19:30 (IST),Match 76 - Completed ,Patna Pirates,U.P. Yoddha,29- 41,"Sree Kanteerava Stadium, Bengaluru",29,41,September
"Friday, 06 September",20:30 (IST),Match 77 - Completed ,Bengaluru Bulls,Telugu Titans,40- 39,"Sree Kanteerava Stadium, Bengaluru",40,39,September
"Saturday, 07 September",19:30 (IST),Match 78 - Completed ,Bengal Warriors,Gujarat Fortunegiants,25- 25,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",25,25,September
"Saturday, 07 September",20:30 (IST),Match 79 - Completed ,Dabang Delhi K.C.,Haryana Steelers,25- 47,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",25,47,September
"Sunday, 08 September",19:30 (IST),Match 80 - Completed ,Dabang Delhi K.C.,Tamil Thalaivas,50- 34,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",50,34,September
"Sunday, 08 September",20:30 (IST),Match 81 - Completed ,Bengal Warriors,Puneri Paltan,42- 39,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",42,39,September
"Monday, 09 September",19:30 (IST),Match 82 - Completed ,U.P. Yoddha,Gujarat Fortunegiants,33- 26,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",33,26,September
"Monday, 09 September",20:30 (IST),Match 83 - Completed ,Tamil Thalaivas,Patna Pirates,25- 51,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",25,51,September
"Tuesday, 10 September",19:30 (IST),Match 87 - Completed ,Telugu Titans,U Mumba,27- 41,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",27,41,September
"Wednesday, 11 September",19:30 (IST),Match 84 - Completed ,Haryana Steelers,Jaipur Pink Panthers,32- 32,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",32,32,September
"Wednesday, 11 September",20:30 (IST),Match 85 - Completed ,Bengal Warriors,U Mumba,29- 26,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",29,26,September
