Name,Player_Type,Latest_Team,Matches_Played,Total_Pts
Pardeep Narwal,Raider,patna pirates,101,1055
Rahul Chaudhari,Raider,tamil thalaivas,116,987
Deepak Niwas Hooda,All Rounder,jaipur pink panthers,118,892
Ajay Thakur,Raider,tamil thalaivas,115,811
Rohit Kumar,Raider,bengaluru bulls,88,689
Maninder Singh,Raider,bengal warriors,75,673
Rishank Devadiga,Raider,up yoddha,113,619
Kashiling Adake,Raider,bengaluru bulls,92,612
Anup Kumar,Raider,jaipur pink panthers,91,596
Pawan Kumar Sehrawat,Raider,bengaluru bulls,72,572
Manjeet Chhillar,All Rounder,tamil thalaivas,106,562
Sandeep Narwal,All Rounder,u mumba,116,533
Monu Goyat,Raider,up yoddha,68,475
Jang Kun Lee,Raider,patna pirates,100,462
Sachin Tanwar,Raider,gujarat fortunegiants,61,456
Nitin Tomar,Raider,puneri paltan,62,445
Jasvir Singh,Raider,tamil thalaivas,77,412
Rajesh Narwal,All Rounder,dabang delhi kc,92,397
Sukesh Hegde,Raider,bengal warriors,94,395
Meraj Sheykh,All Rounder,dabang delhi kc,94,393
Naveen Kumar,Raider,dabang delhi kc,37,364
Vikash Kandola,Raider,haryana steelers,47,358
Prashanth Kumar Rai,Raider,haryana steelers,90,358
K. Prapanjan,Raider,bengal warriors,79,357
Shrikant Jadhav,Raider,up yoddha,68,342
Siddharth Sirish Desai,Raider,telugu titans,35,337
Ran Singh,All Rounder,tamil thalaivas,114,319
Ravinder Pahal,"Defender, right corner",dabang delhi kc,104,317
Deepak Narwal,Raider,jaipur pink panthers,78,306
Wazir Singh,Raider,haryana steelers,47,300
Dharmaraj Cheralathan,"Defender, right and left corner",haryana steelers,114,294
Rohit Baliyan,Raider,u mumba,64,292
Chandran Ranjit,Raider,dabang delhi kc,56,291
Fazel Atrachali,"Defender, left corner",u mumba,94,289
Nilesh Salunke,Raider,jaipur pink panthers,75,289
Mohit Chhillar,"Defender, right corner",tamil thalaivas,106,283
Pawan Kumar Kadian,Raider,puneri paltan,74,279
Rajesh Mondal,Raider,puneri paltan,89,270
PO Surjeet Singh,"Defender, right cover",puneri paltan,89,266
Girish Maruti Ernak,"Defender, left corner",puneri paltan,101,263
Rakesh Kumar,All Rounder,telugu titans,55,260
Surender Nada,"Defender, left corner",haryana steelers,71,243
Shabeer Bappu,Raider,tamil thalaivas,72,232
Amit Hooda,"Defender, right corner",jaipur pink panthers,83,231
Jeeva Kumar,"Defender, right and left cover",bengal warriors,108,222
Manjeet,Raider,puneri paltan,38,209
Mahendra Ganesh Rajput,Raider,gujarat fortunegiants,62,195
Rohit Gulia,All Rounder,gujarat fortunegiants,54,192
Vishal Bhardwaj,Defender,telugu titans,55,191
Vishal Mane,"Defender, right cover",dabang delhi kc,120,191
Deepak Kumar Dahiya,Raider,puneri paltan,53,189
Mahesh Goud,Raider,bengal warriors,65,189
Sandeep Kumar Dhull,"Defender, left corner",jaipur pink panthers,59,189
Nitesh Kumar,Defender,up yoddha,58,188
CPO Surjeet Singh,Raider,tamil thalaivas,48,184
Ajay Kumar,Raider,gujarat fortunegiants,50,183
Kuldeep Singh,All Rounder,patna pirates,66,182
Sunil Kumar,Defender,gujarat fortunegiants,66,179
Ravi Dalal,Raider,dabang delhi kc,38,179
Surjeet Narwal,Raider,bengal warriors,31,174
Nitin Madane,Raider,u mumba,37,173
Jaideep,"Defender, left corner",patna pirates,64,172
Parvesh Bhainswal,"Defender, left cover",gujarat fortunegiants,72,171
Joginder Singh Narwal,"Defender, left corner",dabang delhi kc,75,168
Mahender Singh,"Defender, left cover",bengaluru bulls,60,165
Vijay,All Rounder,dabang delhi kc,54,164
Nitin Rawal,All Rounder,jaipur pink panthers,41,162
More GB,Raider,gujarat fortunegiants,42,158
Shrikant Tewthia,All Rounder,bengal warriors,71,157
Ashish Kumar,All Rounder,bengaluru bulls,82,156
Surinder Singh,Defender,u mumba,59,156
Selvamani K,Raider,haryana steelers,55,155
Naveen,Raider,haryana steelers,33,155
Nilesh Shinde,"Defender, right corner",dabang delhi kc,69,153
Abolfazl Maghsodloumahali,Raider,gujarat fortunegiants,47,152
Abozar Mohajermighani,Defender,telugu titans,59,150
Ravi Kumar,"Defender, right cover",haryana steelers,88,145
Surender Singh,Raider,up yoddha,48,145
Monu,Raider,patna pirates,49,142
Tushar Patil,Raider,patna pirates,53,139
Sonu Narwal,Raider,puneri paltan,33,138
Rohit Rana,"Defender, left cover",u mumba,82,138
Abhishek Singh,Raider,u mumba,28,130
Sunil Jaipal,Raider,bengaluru bulls,38,125
Sachin Shingade,"Defender, left cover",haryana steelers,75,119
Jasmer Singh Gulia,All Rounder,bengaluru bulls,52,116
Farhad Rahimi Milaghardan,All Rounder,telugu titans,54,114
Hadi Oshtorak,All Rounder,patna pirates,66,112
Mohsen Maghsoudloujafari,All Rounder,up yoddha,45,110
Sunil,"Defender, left corner",tamil thalaivas,63,109
C. Arun,"Defender, left cover",telugu titans,83,108
Vinod Kumar,All Rounder,gujarat fortunegiants,44,106
D. Suresh Kumar,"Defender, right cover",u mumba,59,103
Gurvinder Singh,Raider,gujarat fortunegiants,45,100
Athul MS,Raider,u mumba,34,98
Rohit Kumar Choudary,Raider,up yoddha,38,96
Bajirao Hodage,"Defender, right cover",jaipur pink panthers,61,95
Darshan Kadian,Raider,puneri paltan,36,94
Vikas Kale,"Defender, right cover",haryana steelers,55,92
