Rank,Team,Played,Won,Lost,Drawn,Score_diff,Points
1q,Gujarat Fortunegiants,22,15,4,3,126,87
2q,Puneri Paltan,22,15,7,0,91,80
3q,Haryana Steelers,22,13,5,4,40,79
4,U Mumba,22,10,12,0,-50,56
5,Jaipur Pink Panthers,22,8,13,1,-91,51
6,Dabang Delhi K.C.,22,5,16,1,-134,38
rankrank,teamteam,pp,ww,ll,tt,score diff.sd,ptspts
1q,Bengal Warriors,22,11,5,6,19,77
2q,Patna Pirates,22,10,7,5,60,71
3q,U.P. Yoddha,22,8,10,4,2,60
4,Bengaluru Bulls,22,8,11,3,10,57
5,Telugu Titans,22,7,12,3,-2,52
6,Tamil Thalaivas,22,6,14,2,-71,46
